id	created_at	updated_at	id_usuario	id_tema	bajo	regular	bueno
1290	NULL	NULL	86	12	20	30	50
1291	NULL	NULL	86	37	0	0	100
1292	NULL	NULL	86	35	100	0	0
1293	NULL	NULL	86	6	0	0	100
1294	NULL	NULL	86	7	0	0	100
1295	NULL	NULL	86	81	0	0	100
1296	NULL	NULL	86	36	0	0	100
1297	NULL	NULL	86	8	0	0	100
1298	NULL	NULL	86	9	0	0	100
1299	NULL	NULL	86	80	0	0	100
1301	NULL	NULL	86	25	0	0	100
1302	NULL	NULL	86	170	100	0	0
1303	NULL	NULL	86	39	0	0	100
1304	NULL	NULL	86	99	0	0	100
1305	NULL	NULL	86	161	0	0	100
1306	NULL	NULL	86	34	0	0	100
1307	NULL	NULL	86	33	0	0	100
1308	NULL	NULL	86	27	0	0	100
1309	NULL	NULL	86	100	0	0	100
1310	NULL	NULL	86	29	0	0	100
1311	NULL	NULL	86	28	0	0	100
1312	NULL	NULL	86	166	0	0	100
1313	NULL	NULL	86	167	0	0	100
1314	NULL	NULL	86	30	0	0	100
1315	NULL	NULL	86	168	0	0	100
1316	NULL	NULL	86	101	0	0	100
1317	NULL	NULL	86	95	0	0	100
1318	NULL	NULL	86	31	0	0	100
1319	NULL	NULL	86	169	0	0	100
1320	NULL	NULL	86	96	0	0	100
1321	NULL	NULL	86	97	0	0	100
1322	NULL	NULL	86	32	0	0	100
1323	NULL	NULL	86	98	0	0	100
1324	NULL	NULL	86	186	0	0	100
1325	NULL	NULL	86	10	0	0	100
1326	NULL	NULL	86	71	0	0	100
1327	NULL	NULL	86	72	0	0	100
1328	NULL	NULL	86	73	0	0	100
1329	NULL	NULL	86	76	0	0	100
1330	NULL	NULL	86	75	0	0	100
1331	NULL	NULL	86	74	0	0	100
1332	NULL	NULL	86	77	0	100	0
1333	NULL	NULL	86	187	100	0	0
1334	NULL	NULL	86	24	100	0	0
1335	NULL	NULL	86	82	0	100	0
1336	NULL	NULL	86	78	0	100	0
1337	NULL	NULL	86	83	0	100	0
1338	NULL	NULL	86	79	0	0	100
1339	NULL	NULL	86	86	0	100	0
1340	NULL	NULL	86	88	100	0	0
1341	NULL	NULL	86	163	100	0	0
1342	NULL	NULL	86	91	100	0	0
1343	NULL	NULL	86	165	100	0	0
1344	NULL	NULL	86	164	100	0	0
1345	NULL	NULL	86	53	100	0	0
1346	NULL	NULL	86	19	100	0	0
1347	NULL	NULL	86	54	100	0	0
1348	NULL	NULL	86	55	100	0	0
1350	NULL	NULL	86	57	100	0	0
1351	NULL	NULL	86	58	100	0	0
1352	NULL	NULL	86	60	100	0	0
1353	NULL	NULL	86	59	100	0	0
1354	NULL	NULL	86	188	100	0	0
1355	NULL	NULL	86	189	100	0	0
1356	NULL	NULL	86	190	100	0	0
1357	NULL	NULL	86	23	0	0	100
1358	NULL	NULL	86	181	100	0	0
1359	NULL	NULL	86	61	50	20	30
1360	NULL	NULL	86	182	100	0	0
1361	NULL	NULL	86	62	100	0	0
1362	NULL	NULL	86	183	100	0	0
1363	NULL	NULL	86	63	100	0	0
1364	NULL	NULL	86	184	100	0	0
1366	NULL	NULL	86	185	100	0	0
1367	NULL	NULL	86	172	100	0	0
1368	NULL	NULL	86	173	100	0	0
1369	NULL	NULL	86	174	100	0	0
1370	NULL	NULL	86	176	100	0	0
1371	NULL	NULL	86	175	100	0	0
1372	NULL	NULL	86	177	100	0	0
1373	NULL	NULL	86	180	100	0	0
1374	NULL	NULL	86	179	100	0	0
1375	NULL	NULL	86	209	0	100	0
1376	NULL	NULL	86	178	100	0	0
1377	NULL	NULL	86	191	100	0	0
1378	NULL	NULL	86	192	100	0	0
1379	NULL	NULL	86	41	100	0	0
1380	NULL	NULL	86	193	100	0	0
1381	NULL	NULL	86	42	100	0	0
1383	NULL	NULL	86	194	100	0	0
1384	NULL	NULL	86	50	100	0	0
1385	NULL	NULL	86	49	100	0	0
1386	NULL	NULL	86	48	100	0	0
1387	NULL	NULL	86	47	100	0	0
1388	NULL	NULL	86	46	100	0	0
1389	NULL	NULL	86	44	100	0	0
1390	NULL	NULL	86	195	100	0	0
1391	NULL	NULL	86	196	100	0	0
1392	NULL	NULL	86	197	0	0	100
1393	NULL	NULL	86	198	0	0	100
1394	NULL	NULL	86	199	0	0	100
1395	NULL	NULL	86	200	0	0	100
1396	NULL	NULL	86	201	0	0	100
1397	NULL	NULL	86	202	0	0	100
1398	NULL	NULL	86	203	0	0	100
1399	NULL	NULL	86	204	0	100	0
1400	NULL	NULL	86	205	0	100	0
1401	NULL	NULL	86	206	100	0	0
1402	NULL	NULL	86	208	100	0	0
1403	NULL	NULL	86	207	0	0	100
1405	NULL	NULL	95	94	10	70	20
1406	NULL	NULL	95	26	20	50	30
1407	NULL	NULL	95	12	10	30	60
1408	NULL	NULL	95	37	5	55	40
1409	NULL	NULL	95	35	30	55	15
1410	NULL	NULL	86	11	27	18	55
1411	NULL	NULL	95	6	17	77	6
1412	NULL	NULL	95	7	36	44	20
1413	NULL	NULL	95	81	23	23	54
1414	NULL	NULL	95	36	44	23	33
1415	NULL	NULL	95	8	4	10	86
1416	NULL	NULL	95	9	10	3	87
1417	NULL	NULL	95	80	10	13	77
1418	NULL	NULL	95	11	11	55	34
1419	NULL	NULL	95	25	2	42	56
1420	NULL	NULL	95	170	9	23	68
1421	NULL	NULL	95	39	12	33	55
1422	NULL	NULL	95	99	8	22	70
1423	NULL	NULL	95	161	2	30	68
1424	NULL	NULL	95	34	9	24	67
1425	NULL	NULL	95	33	8	4	88
1426	NULL	NULL	95	27	2	21	77
1427	NULL	NULL	95	100	0	1	99
1428	NULL	NULL	95	29	1	55	44
1429	NULL	NULL	95	28	33	12	55
1430	NULL	NULL	95	166	22	22	56
1431	NULL	NULL	95	167	4	25	71
1432	NULL	NULL	95	30	9	33	58
1433	NULL	NULL	95	168	6	77	17
1434	NULL	NULL	95	101	0	5	95
1435	NULL	NULL	95	95	2	10	88
1436	NULL	NULL	95	31	0	5	95
1437	NULL	NULL	95	169	5	83	12
1438	NULL	NULL	95	96	1	22	77
1439	NULL	NULL	95	32	12	33	55
1440	NULL	NULL	95	98	1	54	45
1441	NULL	NULL	95	186	1	77	22
1442	NULL	NULL	95	10	12	33	55
1443	NULL	NULL	95	71	12	22	66
1444	NULL	NULL	95	72	0	56	44
1445	NULL	NULL	95	73	1	77	22
1446	NULL	NULL	95	76	22	23	55
1447	NULL	NULL	95	75	1	22	77
1448	NULL	NULL	95	74	55	33	12
1449	NULL	NULL	95	77	23	33	44
1450	NULL	NULL	95	187	12	33	55
1451	NULL	NULL	95	24	12	44	44
1452	NULL	NULL	95	82	12	44	44
1453	NULL	NULL	95	78	12	33	55
1454	NULL	NULL	95	83	22	23	55
1455	NULL	NULL	95	79	12	22	66
1456	NULL	NULL	95	86	0	77	23
1457	NULL	NULL	95	88	12	12	76
1458	NULL	NULL	95	163	1	22	77
1459	NULL	NULL	95	91	1	22	77
1460	NULL	NULL	95	165	1	55	44
1461	NULL	NULL	95	164	0	12	88
1462	NULL	NULL	95	53	13	54	33
1463	NULL	NULL	95	19	1	44	55
1464	NULL	NULL	95	54	33	22	45
1465	NULL	NULL	95	55	12	22	66
1467	NULL	NULL	95	57	44	12	44
1468	NULL	NULL	95	58	22	45	33
1469	NULL	NULL	95	60	44	13	43
1470	NULL	NULL	95	59	1	66	33
1471	NULL	NULL	95	188	1	77	22
1472	NULL	NULL	95	189	2	54	44
1473	NULL	NULL	95	190	11	34	55
1474	NULL	NULL	95	23	11	33	56
1475	NULL	NULL	95	203	12	55	33
1476	NULL	NULL	95	195	12	44	44
1477	NULL	NULL	95	196	1	88	11
1478	NULL	NULL	95	97	34	22	44
1479	NULL	NULL	95	181	12	22	66
1480	NULL	NULL	95	61	12	55	33
1481	NULL	NULL	95	172	33	23	44
1482	NULL	NULL	95	173	0	33	67
1483	NULL	NULL	95	182	1	33	66
1484	NULL	NULL	95	62	0	12	88
1485	NULL	NULL	95	183	1	22	77
1486	NULL	NULL	95	63	9	88	3
1487	NULL	NULL	95	184	1	0	99
1489	NULL	NULL	95	185	1	44	55
1490	NULL	NULL	95	174	12	44	44
1491	NULL	NULL	95	176	1	33	66
1492	NULL	NULL	95	175	22	34	44
1493	NULL	NULL	95	177	12	66	22
1494	NULL	NULL	95	180	11	45	44
1495	NULL	NULL	95	179	22	23	55
1496	NULL	NULL	95	178	34	22	44
1497	NULL	NULL	95	47	45	44	11
1498	NULL	NULL	95	46	2	55	43
1499	NULL	NULL	95	44	1	77	22
1500	NULL	NULL	95	197	44	12	44
1501	NULL	NULL	95	198	12	78	10
1502	NULL	NULL	95	199	89	11	0
1503	NULL	NULL	95	200	0	23	77
1504	NULL	NULL	95	201	22	22	56
1505	NULL	NULL	95	202	1	55	44
1506	NULL	NULL	95	204	0	33	67
1507	NULL	NULL	95	205	0	34	66
1508	NULL	NULL	95	206	6	77	17
1509	NULL	NULL	95	207	0	93	7
1510	NULL	NULL	95	208	1	11	88
1511	NULL	NULL	95	209	3	10	87
1512	NULL	NULL	95	191	1	33	66
1513	NULL	NULL	95	192	11	23	66
1514	NULL	NULL	95	41	33	22	45
1515	NULL	NULL	95	193	23	55	22
1516	NULL	NULL	95	42	11	12	77
1518	NULL	NULL	95	194	2	66	32
1519	NULL	NULL	95	50	12	44	44
1520	NULL	NULL	95	49	43	13	44
1521	NULL	NULL	95	48	23	11	66
1522	NULL	NULL	85	94	30	50	20
1523	NULL	NULL	85	26	30	20	50
1524	NULL	NULL	85	193	20	30	50
1530	NULL	NULL	86	26	30	40	30
1531	NULL	NULL	86	94	30	30	40
1552	NULL	NULL	113	94	50	35	15
1553	NULL	NULL	119	12	20	45	35
1554	NULL	NULL	119	26	15	55	30
1555	NULL	NULL	119	94	35	45	20
1556	NULL	NULL	119	37	20	55	25
1557	NULL	NULL	119	35	30	50	20
1558	NULL	NULL	119	6	15	55	30
1559	NULL	NULL	119	7	25	65	10
1560	NULL	NULL	119	81	25	60	15
1561	NULL	NULL	119	36	20	60	20
1562	NULL	NULL	119	8	20	50	30
1563	NULL	NULL	119	9	30	50	20
1564	NULL	NULL	119	80	35	50	15
1565	NULL	NULL	119	11	20	60	20
1566	NULL	NULL	119	25	20	55	25
1567	NULL	NULL	119	170	40	45	15
1568	NULL	NULL	119	39	15	65	20
1569	NULL	NULL	119	99	40	50	10
1570	NULL	NULL	119	161	35	55	10
1571	NULL	NULL	119	34	30	55	15
1572	NULL	NULL	119	33	30	50	20
1573	NULL	NULL	119	27	30	55	15
1574	NULL	NULL	119	100	20	55	25
1575	NULL	NULL	119	29	25	55	20
1576	NULL	NULL	119	28	20	60	20
1577	NULL	NULL	119	166	25	65	10
1578	NULL	NULL	119	167	40	50	10
1579	NULL	NULL	119	30	35	50	15
1580	NULL	NULL	119	168	40	45	15
1581	NULL	NULL	119	101	40	50	10
1582	NULL	NULL	119	95	40	60	0
1583	NULL	NULL	119	31	35	55	10
1584	NULL	NULL	119	169	25	60	15
1585	NULL	NULL	119	96	30	55	15
1586	NULL	NULL	119	97	20	60	20
1587	NULL	NULL	119	32	30	60	10
1588	NULL	NULL	119	98	25	60	15
1589	NULL	NULL	119	186	30	65	5
1590	NULL	NULL	119	10	35	65	0
1591	NULL	NULL	119	71	45	55	0
1592	NULL	NULL	119	72	40	60	0
1593	NULL	NULL	119	73	35	60	5
1594	NULL	NULL	119	76	30	70	0
1595	NULL	NULL	119	75	35	60	5
1596	NULL	NULL	119	74	40	60	0
1597	NULL	NULL	119	77	35	55	10
1598	NULL	NULL	119	187	25	55	20
1599	NULL	NULL	119	24	25	50	25
1600	NULL	NULL	119	82	10	60	30
1601	NULL	NULL	119	78	15	60	25
1602	NULL	NULL	119	83	15	65	20
1603	NULL	NULL	119	79	15	70	15
1604	NULL	NULL	119	86	15	65	20
1605	NULL	NULL	119	88	25	60	15
1606	NULL	NULL	119	163	25	65	10
1607	NULL	NULL	119	91	10	70	20
1608	NULL	NULL	119	165	30	60	10
1609	NULL	NULL	119	164	35	55	10
1610	NULL	NULL	119	53	20	60	20
1611	NULL	NULL	119	19	10	60	30
1612	NULL	NULL	119	54	25	60	15
1613	NULL	NULL	119	55	20	65	15
1615	NULL	NULL	119	57	15	75	10
1616	NULL	NULL	119	58	25	70	5
1617	NULL	NULL	119	60	25	65	10
1618	NULL	NULL	119	59	15	80	5
1619	NULL	NULL	119	188	25	70	5
1620	NULL	NULL	119	189	20	70	10
1621	NULL	NULL	119	190	35	60	5
1622	NULL	NULL	119	23	30	60	10
1623	NULL	NULL	119	181	25	65	10
1624	NULL	NULL	119	61	25	75	0
1625	NULL	NULL	119	182	20	70	10
1626	NULL	NULL	119	183	25	60	15
1627	NULL	NULL	119	62	25	65	10
1628	NULL	NULL	119	63	15	70	15
1629	NULL	NULL	119	184	35	60	5
1631	NULL	NULL	119	185	15	85	0
1632	NULL	NULL	119	172	20	60	20
1633	NULL	NULL	119	173	20	70	10
1634	NULL	NULL	119	174	15	60	25
1635	NULL	NULL	119	176	20	65	15
1636	NULL	NULL	119	175	30	60	10
1637	NULL	NULL	119	177	15	60	25
1638	NULL	NULL	119	180	25	65	10
1639	NULL	NULL	119	179	10	55	35
1640	NULL	NULL	119	178	30	50	20
1641	NULL	NULL	119	191	25	60	15
1642	NULL	NULL	119	192	15	70	15
1643	NULL	NULL	119	41	15	65	20
1644	NULL	NULL	119	193	30	55	15
1645	NULL	NULL	119	42	30	60	10
1647	NULL	NULL	119	194	15	65	20
1648	NULL	NULL	119	50	30	60	10
1649	NULL	NULL	119	49	30	65	5
1650	NULL	NULL	119	48	25	60	15
1651	NULL	NULL	119	47	30	50	20
1652	NULL	NULL	119	46	20	60	20
1653	NULL	NULL	119	44	25	65	10
1654	NULL	NULL	119	195	20	65	15
1655	NULL	NULL	119	196	30	65	5
1656	NULL	NULL	119	197	30	50	20
1657	NULL	NULL	119	198	35	55	10
1658	NULL	NULL	119	199	30	60	10
1659	NULL	NULL	119	200	30	65	5
1660	NULL	NULL	119	201	40	55	5
1661	NULL	NULL	119	202	35	65	0
1662	NULL	NULL	119	203	20	70	10
1663	NULL	NULL	119	204	25	65	10
1664	NULL	NULL	119	205	25	70	5
1665	NULL	NULL	119	206	30	65	5
1666	NULL	NULL	119	207	25	65	10
1667	NULL	NULL	119	208	20	70	10
1668	NULL	NULL	119	209	25	65	10
1669	NULL	NULL	117	94	30	50	20
1670	NULL	NULL	117	26	5	25	70
1671	NULL	NULL	117	12	20	20	60
1672	NULL	NULL	117	37	5	10	85
1673	NULL	NULL	117	35	10	5	85
1674	NULL	NULL	117	6	1	4	95
1675	NULL	NULL	117	7	10	25	65
1676	NULL	NULL	117	81	10	60	30
1677	NULL	NULL	117	36	9	25	66
1678	NULL	NULL	117	8	10	40	50
1679	NULL	NULL	117	9	10	50	40
1680	NULL	NULL	117	80	10	50	40
1681	NULL	NULL	117	11	15	40	45
1682	NULL	NULL	117	25	5	25	70
1683	NULL	NULL	117	170	5	70	25
1684	NULL	NULL	117	39	15	65	20
1685	NULL	NULL	117	99	15	35	50
1686	NULL	NULL	117	161	5	50	45
1687	NULL	NULL	117	34	10	70	20
1688	NULL	NULL	117	33	5	35	60
1689	NULL	NULL	117	27	4	30	66
1690	NULL	NULL	117	100	10	40	50
1691	NULL	NULL	117	29	3	36	61
1692	NULL	NULL	117	28	5	40	55
1693	NULL	NULL	117	166	5	85	10
1694	NULL	NULL	117	167	0	65	35
1695	NULL	NULL	117	30	5	20	75
1696	NULL	NULL	117	168	10	75	15
1697	NULL	NULL	117	101	5	26	69
1698	NULL	NULL	117	95	30	15	55
1699	NULL	NULL	117	31	5	50	45
1700	NULL	NULL	117	169	5	85	10
1701	NULL	NULL	117	96	10	78	12
1702	NULL	NULL	117	97	0	5	95
1703	NULL	NULL	117	32	5	20	75
1704	NULL	NULL	117	98	0	25	75
1705	NULL	NULL	117	186	15	55	30
1706	NULL	NULL	117	10	5	55	40
1707	NULL	NULL	117	71	5	60	35
1708	NULL	NULL	117	72	10	25	65
1709	NULL	NULL	117	73	11	54	35
1710	NULL	NULL	117	76	5	70	25
1711	NULL	NULL	117	75	0	85	15
1712	NULL	NULL	117	74	5	70	25
1713	NULL	NULL	117	77	20	75	5
1714	NULL	NULL	117	187	20	25	55
1715	NULL	NULL	117	24	5	45	50
1716	NULL	NULL	117	82	5	35	60
1717	NULL	NULL	117	78	10	75	15
1718	NULL	NULL	117	83	5	70	25
1719	NULL	NULL	117	79	10	75	15
1720	NULL	NULL	117	86	0	55	45
1721	NULL	NULL	117	88	5	50	45
1722	NULL	NULL	117	163	15	75	10
1723	NULL	NULL	117	91	25	60	15
1724	NULL	NULL	117	165	25	65	10
1725	NULL	NULL	117	164	40	55	5
1726	NULL	NULL	117	53	25	15	60
1727	NULL	NULL	117	19	5	35	60
1728	NULL	NULL	117	54	15	55	30
1729	NULL	NULL	117	55	15	35	50
1731	NULL	NULL	117	57	10	55	35
1732	NULL	NULL	117	58	10	65	25
1733	NULL	NULL	117	60	10	55	35
1734	NULL	NULL	117	59	35	55	10
1735	NULL	NULL	117	188	20	65	15
1736	NULL	NULL	117	189	10	65	25
1737	NULL	NULL	117	190	15	45	40
1738	NULL	NULL	117	23	5	35	60
1739	NULL	NULL	117	181	5	35	60
1740	NULL	NULL	117	61	5	45	50
1741	NULL	NULL	117	182	5	25	70
1742	NULL	NULL	117	62	15	40	45
1743	NULL	NULL	117	183	25	30	45
1744	NULL	NULL	117	63	20	35	45
1745	NULL	NULL	117	184	16	24	60
1747	NULL	NULL	117	185	0	55	45
1748	NULL	NULL	117	172	10	40	50
1749	NULL	NULL	117	173	10	60	30
1750	NULL	NULL	117	174	10	50	40
1751	NULL	NULL	117	176	15	55	30
1752	NULL	NULL	117	175	25	45	30
1753	NULL	NULL	117	177	15	45	40
1754	NULL	NULL	117	180	25	60	15
1755	NULL	NULL	117	179	15	60	25
1756	NULL	NULL	117	178	30	65	5
1757	NULL	NULL	117	191	5	75	20
1758	NULL	NULL	117	192	10	65	25
1759	NULL	NULL	117	41	0	40	60
1760	NULL	NULL	117	193	5	40	55
1761	NULL	NULL	117	42	15	60	25
1763	NULL	NULL	117	194	0	55	45
1764	NULL	NULL	117	50	15	35	50
1765	NULL	NULL	117	49	10	55	35
1766	NULL	NULL	117	48	5	60	35
1767	NULL	NULL	117	47	20	65	15
1768	NULL	NULL	117	46	20	65	15
1769	NULL	NULL	117	44	15	65	20
1770	NULL	NULL	117	195	20	65	15
1771	NULL	NULL	117	196	5	65	30
1772	NULL	NULL	117	197	20	15	65
1773	NULL	NULL	117	198	5	50	45
1774	NULL	NULL	117	199	15	70	15
1775	NULL	NULL	117	200	10	30	60
1776	NULL	NULL	117	201	5	65	30
1777	NULL	NULL	117	202	5	60	35
1778	NULL	NULL	117	203	20	65	15
1779	NULL	NULL	117	204	10	55	35
1780	NULL	NULL	117	205	5	60	35
1781	NULL	NULL	117	206	45	40	15
1782	NULL	NULL	117	207	55	30	15
1783	NULL	NULL	117	208	10	70	20
1784	NULL	NULL	117	209	5	50	45
1785	NULL	NULL	118	94	50	20	30
1786	NULL	NULL	118	26	20	50	30
1787	NULL	NULL	118	12	30	50	20
1788	NULL	NULL	118	37	10	20	70
1789	NULL	NULL	118	35	10	30	60
1790	NULL	NULL	118	6	0	45	55
1791	NULL	NULL	118	7	30	10	60
1792	NULL	NULL	118	81	24	36	40
1793	NULL	NULL	118	36	0	20	80
1794	NULL	NULL	118	8	35	15	50
1795	NULL	NULL	118	9	30	30	40
1796	NULL	NULL	118	80	54	23	23
1797	NULL	NULL	118	11	20	20	60
1798	NULL	NULL	118	25	25	35	40
1799	NULL	NULL	118	170	40	30	30
1800	NULL	NULL	118	39	20	30	50
1801	NULL	NULL	118	99	40	30	30
1802	NULL	NULL	118	161	20	35	45
1803	NULL	NULL	118	34	32	20	48
1804	NULL	NULL	118	33	40	20	40
1805	NULL	NULL	118	27	1	33	66
1806	NULL	NULL	118	100	33	33	34
1807	NULL	NULL	118	29	17	33	50
1808	NULL	NULL	118	28	0	0	100
1809	NULL	NULL	118	166	19	1	80
1810	NULL	NULL	118	167	25	35	40
1811	NULL	NULL	118	30	30	20	50
1812	NULL	NULL	118	168	33	20	47
1813	NULL	NULL	118	101	10	60	30
1814	NULL	NULL	118	95	30	20	50
1815	NULL	NULL	118	31	10	30	60
1816	NULL	NULL	118	169	15	30	55
1817	NULL	NULL	118	96	86	2	12
1818	NULL	NULL	118	97	0	20	80
1819	NULL	NULL	118	32	40	30	30
1820	NULL	NULL	118	98	25	30	45
1821	NULL	NULL	118	186	30	40	30
1822	NULL	NULL	118	10	30	30	40
1823	NULL	NULL	118	71	50	30	20
1824	NULL	NULL	118	72	50	10	40
1825	NULL	NULL	118	73	30	25	45
1826	NULL	NULL	118	76	30	10	60
1827	NULL	NULL	118	75	45	5	50
1828	NULL	NULL	118	74	20	10	70
1829	NULL	NULL	118	77	40	20	40
1830	NULL	NULL	118	187	20	20	60
1831	NULL	NULL	118	24	13	39	48
1832	NULL	NULL	118	82	18	2	80
1833	NULL	NULL	118	78	0	100	0
1834	NULL	NULL	118	83	0	0	100
1835	NULL	NULL	118	79	100	0	0
1836	NULL	NULL	118	86	40	30	30
1837	NULL	NULL	118	88	0	1	99
1838	NULL	NULL	118	163	1	0	99
1839	NULL	NULL	118	91	54	23	23
1840	NULL	NULL	118	165	50	20	30
1841	NULL	NULL	118	164	20	10	70
1842	NULL	NULL	118	53	10	10	80
1843	NULL	NULL	118	19	5	5	90
1844	NULL	NULL	118	54	25	25	50
1845	NULL	NULL	118	55	30	30	40
1847	NULL	NULL	118	57	15	70	15
1848	NULL	NULL	118	58	20	60	20
1849	NULL	NULL	118	60	60	20	20
1850	NULL	NULL	118	59	70	15	15
1851	NULL	NULL	118	188	10	50	40
1852	NULL	NULL	118	189	15	15	70
1853	NULL	NULL	118	190	20	20	60
1854	NULL	NULL	118	23	25	25	50
1855	NULL	NULL	118	181	20	20	60
1856	NULL	NULL	118	61	40	30	30
1857	NULL	NULL	118	182	0	50	50
1858	NULL	NULL	118	62	50	0	50
1859	NULL	NULL	118	183	50	50	0
1860	NULL	NULL	118	63	40	30	30
1861	NULL	NULL	118	184	30	30	40
1863	NULL	NULL	118	185	40	30	30
1864	NULL	NULL	118	172	60	20	20
1865	NULL	NULL	118	173	10	30	60
1866	NULL	NULL	118	174	10	20	70
1867	NULL	NULL	118	176	25	25	50
1868	NULL	NULL	118	175	30	25	45
1869	NULL	NULL	118	177	20	10	70
1870	NULL	NULL	118	180	65	5	30
1871	NULL	NULL	118	179	22	2	76
1872	NULL	NULL	118	178	50	26	24
1873	NULL	NULL	118	191	21	12	67
1874	NULL	NULL	118	192	2	2	96
1875	NULL	NULL	118	41	20	30	50
1876	NULL	NULL	118	193	15	10	75
1877	NULL	NULL	118	42	40	30	30
1879	NULL	NULL	118	194	98	1	1
1880	NULL	NULL	118	50	5	90	5
1881	NULL	NULL	118	49	0	90	10
1882	NULL	NULL	118	48	1	77	22
1883	NULL	NULL	118	47	10	60	30
1884	NULL	NULL	118	46	5	90	5
1885	NULL	NULL	118	44	90	5	5
1886	NULL	NULL	118	195	65	20	15
1887	NULL	NULL	118	196	5	5	90
1888	NULL	NULL	118	197	50	20	30
1889	NULL	NULL	118	198	10	20	70
1890	NULL	NULL	118	199	0	24	76
1891	NULL	NULL	118	200	45	42	13
1892	NULL	NULL	118	201	35	15	50
1893	NULL	NULL	118	202	96	2	2
1894	NULL	NULL	118	203	0	5	95
1895	NULL	NULL	118	204	10	45	45
1896	NULL	NULL	118	205	50	40	10
1897	NULL	NULL	118	206	15	45	40
1898	NULL	NULL	118	207	58	2	40
1899	NULL	NULL	118	208	30	3	67
1900	NULL	NULL	118	209	30	50	20
1901	NULL	NULL	116	94	50	20	30
1902	NULL	NULL	116	26	20	20	60
1903	NULL	NULL	116	12	40	30	30
1904	NULL	NULL	116	37	20	50	30
1905	NULL	NULL	116	35	50	30	20
1906	NULL	NULL	116	6	40	30	30
1907	NULL	NULL	116	7	20	30	50
1908	NULL	NULL	116	81	20	50	30
1909	NULL	NULL	113	26	30	30	40
1910	NULL	NULL	113	12	20	30	50
1911	NULL	NULL	113	37	15	40	45
1912	NULL	NULL	113	35	40	35	25
1913	NULL	NULL	113	6	10	10	80
1914	NULL	NULL	113	7	40	35	25
1915	NULL	NULL	113	81	40	35	25
1916	NULL	NULL	113	36	40	30	30
1917	NULL	NULL	113	8	5	5	90
1918	NULL	NULL	113	9	35	35	30
1919	NULL	NULL	113	80	40	40	20
1920	NULL	NULL	113	11	35	35	30
1921	NULL	NULL	113	25	60	25	15
1922	NULL	NULL	113	170	55	35	10
1923	NULL	NULL	113	39	30	30	40
1924	NULL	NULL	113	99	35	40	25
1925	NULL	NULL	113	161	40	40	20
1926	NULL	NULL	113	34	40	40	20
1927	NULL	NULL	113	33	20	45	35
1928	NULL	NULL	113	27	30	35	35
1929	NULL	NULL	113	100	25	35	40
1930	NULL	NULL	113	29	30	30	40
1931	NULL	NULL	113	28	35	30	35
1932	NULL	NULL	113	166	50	30	20
1933	NULL	NULL	113	167	40	40	20
1934	NULL	NULL	113	30	30	40	30
1935	NULL	NULL	113	168	40	30	30
1936	NULL	NULL	113	101	30	40	30
1937	NULL	NULL	113	95	35	40	25
1938	NULL	NULL	113	31	35	45	20
1939	NULL	NULL	113	169	40	40	20
1940	NULL	NULL	113	96	35	45	20
1941	NULL	NULL	113	97	20	20	60
