id	nombre_tema	nivel	freex	freey	textPosition	created_at	updated_at	dificultad
1	Matematicas	0	500.00	50.00	0	NULL	NULL	-3.00000000
2	Aritmetica	1	-501.73	150.50	0	NULL	2022-01-03 23:53:32	-1.97142857
6	Suma aritmética de números enteros	3	-1053.92	584.93	0	NULL	2021-12-03 16:56:49	-2.82857143
7	Conjuntos Numericos 	3	-1541.05	540.07	0	NULL	2021-11-30 03:25:17	-2.82857143
8	Tablas de  multiplicar	4	-1327.08	716.20	0	NULL	2021-12-03 16:56:48	-2.74285714
9	Clasificación de los números	4	-1594.79	870.71	0	NULL	2021-07-05 21:36:23	-2.74285714
10	Matrices	3	721.48	754.41	0	NULL	2021-11-30 03:25:10	-0.08571429
11	Multiplicación aritmética de números enteros	5	-1396.61	1123.90	0	NULL	2021-08-06 16:58:44	-2.65714286
12	Conjuntos	2	-1169.10	270.90	0	NULL	2021-10-22 21:13:17	-2.91428571
13	Álgebra  lineal	1	802.31	292.56	0	NULL	2022-04-26 15:04:00	-2.31428571
14	Álgebra	1	-66.37	210.69	0	NULL	2022-01-03 23:54:07	-2.14285714
17	Trigonometría	1	1400.07	405.65	0	NULL	2022-06-14 17:51:26	-2.22857143
19	Triángulos rectángulos	2	1145.39	555.19	0	NULL	2022-01-03 23:13:23	0.51428571
20	Geometría	1	426.28	283.35	0	NULL	2022-01-03 23:54:12	-2.14285714
23	Principios de la Geometríaa	2	237.28	457.56	0	NULL	2022-01-05 17:55:01	-1.02857143
24	Expresiones algebraicas	2	51.58	501.62	0	NULL	2021-12-16 18:55:09	-1.88571429
25	Números racionales 	5	-1768.70	1108.46	0	NULL	2021-11-25 14:26:44	-2.65714286
26	Operaciones Aritméticas 	2	-801.41	481.33	0	NULL	2021-11-16 15:03:46	-2.91428571
27	Común denominador 	6	-1905.83	1366.19	0	NULL	2021-12-09 16:34:13	-2.57142857
28	Mínimo común múltiplo 	7	-1668.81	1487.05	0	NULL	2021-08-05 16:41:37	-2.48571429
29	Máximo común divisor 	7	-1894.15	1680.02	0	NULL	2021-12-09 16:34:11	-2.48571429
30	Suma de números racionales 	8	-1244.33	1849.19	0	NULL	2022-06-21 18:33:48	-2.40000000
31	Ley de exponentes	9	-1592.61	2087.83	0	NULL	2021-08-05 16:43:57	-2.14285714
32	Notación científica 	10	-1873.18	2264.77	0	NULL	2021-11-25 14:26:50	-2.05714286
33	Ley de signos	6	-1540.55	1335.83	0	NULL	2021-08-05 16:15:59	-2.57142857
34	Exponentes de números enteros elevados a números enteros	6	-1612.81	1850.18	0	NULL	2021-11-25 14:26:54	-2.57142857
35	Jerarquías de las operaciones aritméticas	3	-800.70	835.51	0	NULL	2021-12-29 22:27:35	-2.82857143
36	Operaciones  aritméticas  compuestas	4	-700.33	1337.38	0	NULL	2021-12-06 15:04:24	-2.14285714
37	Resta aritmética de números enteros	3	-1096.29	993.36	0	NULL	2021-12-13 23:17:57	-2.82857143
39	División  aritmética de números enteros	6	-1176.46	1526.75	0	NULL	2021-08-06 16:58:53	-2.57142857
40	Funciones  matemáticas	1	1678.42	372.84	0	NULL	2021-08-05 16:39:36	-2.40000000
41	Conceptos de  funciones  matemáticas	4	1977.63	1001.28	0	NULL	2021-11-16 02:42:27	1.45714286
42	Dominio y rango de una función	6	1993.32	1539.61	0	NULL	2021-11-16 02:42:22	1.62857143
44	Función  Lineal	8	1535.66	2120.85	0	NULL	2022-06-21 18:30:55	1.71428571
46	Función Cuadrática	8	1786.90	2069.83	0	NULL	2022-06-21 18:30:59	1.71428571
47	Función Polinomial	8	2017.73	2017.66	0	NULL	2022-06-21 18:31:01	1.71428571
48	Función  Exponencial	8	2242.03	1938.78	0	NULL	2021-12-06 15:05:26	1.71428571
49	Funciones  Logarítmicas	8	2491.15	1931.85	0	NULL	2022-06-21 18:30:47	1.71428571
50	Función  Valor absoluto	8	2757.98	1899.75	0	NULL	2022-06-21 18:30:44	1.71428571
51	Cálculo  Diferencial	1	1917.37	288.83	0	NULL	2021-08-05 16:40:33	-2.48571429
52	Cálculo  Integral	1	2118.42	129.96	0	NULL	2021-11-30 03:24:30	-2.31428571
53	Tríangulos  oblicuángulos	2	1759.61	709.94	0	NULL	2021-12-06 15:05:11	0.51428571
54	Círculo  unitarioo	3	1034.15	762.70	0	NULL	2022-06-14 20:41:18	0.60000000
55	Razones  trigonométricas	4	1366.63	690.53	0	NULL	2022-11-11 21:45:12	0.68571429
57	Ángulos y sus  razones  trigonométricas	5	1357.37	916.08	0	NULL	2021-12-13 23:23:10	0.77142857
58	Identidades  trigonométricas	6	1470.11	1114.28	0	NULL	2021-12-13 23:23:08	0.85714286
59	Ecuaciones trigonometricas	7	1479.50	1373.64	0	NULL	2021-12-13 23:23:15	0.94285714
60	Ley de los Cosenos	7	1773.14	1047.15	0	NULL	2021-08-05 16:38:57	0.94285714
61	Ángulos	3	277.28	688.21	0	NULL	2022-06-14 17:49:38	-0.94285714
62	Polígonos	4	283.06	962.21	0	NULL	2022-01-04 15:31:38	-0.85714286
63	Triángulos	5	423.28	1151.79	0	NULL	2021-11-23 17:36:01	-0.77142857
71	Operaciones  con  matrices	4	672.18	1121.91	0	NULL	2021-11-14 16:51:37	0.00000000
72	Transpuesta	5	954.80	1121.94	0	NULL	2022-06-14 20:41:20	0.08571429
73	Determinantes	6	793.65	1313.17	0	NULL	2021-12-09 18:10:39	0.17142857
74	Regla  de  Cramer	7	856.07	1584.65	0	NULL	2021-11-14 17:54:03	0.25714286
75	Método de Gauss Jordan	7	1061.12	1496.16	0	NULL	2021-11-14 17:54:05	0.25714286
76	Matriz  Inversa	7	1264.81	1385.44	0	NULL	2022-06-21 18:28:45	0.25714286
77	Solución de  sistemas de  ecuaciones  por matrices	8	1154.45	1838.18	0	NULL	2021-12-09 18:05:18	0.34285714
78	 Ecuaciones algebraicas	3	359.04	1600.33	0	NULL	2021-12-09 18:18:48	-1.80000000
79	Métodos analíticos para la resolución de sistemas de ecuaciones	4	498.81	1893.94	0	NULL	2022-05-06 12:54:31	-1.71428571
80	Sistemas  de  ecuaciones 	5	180.33	180.33	0	NULL	2022-12-17 20:30:16	-1.20000000
81	Ecuaciones de  primer grado	4	-158.63	2279.56	0	NULL	2021-12-09 18:18:46	-1.28571429
82	Operaciones básicas del álgebra	3	-205.22	448.23	0	NULL	2021-12-09 18:18:28	-1.80000000
83	Lenguaje común y lenguaje algebraico	4	-442.69	661.60	0	NULL	2022-06-14 20:41:48	-1.71428571
86	Suma  y resta de  terminos algebraicos	5	-182.40	701.61	0	NULL	2021-12-09 18:17:41	-1.62857143
88	Multiplicación de  términos algebraicos	6	45.07	874.44	0	NULL	2022-06-14 20:41:49	-1.54285714
91	División de  términos  algebraicos	7	-425.90	901.15	0	NULL	2021-12-09 17:04:36	-1.45714286
94	Fórmula general para ecuaciones de segundo grado	2	-618.08	1036.06	0	NULL	2021-12-29 22:27:37	-2.91428571
95	División de  números  racionales	9	-948.78	2232.80	0	NULL	2021-08-06 16:58:35	-2.22857143
96	Radicales	10	-888.26	2634.73	0	NULL	2021-07-05 21:37:02	-2.14285714
97	Regla detres	10	-364.46	2260.50	0	NULL	2021-12-14 00:47:17	-2.05714286
98	Porcentajes	11	-322.02	2550.74	0	NULL	2021-07-05 21:37:06	-1.97142857
99	Multiplicación de  números  racionales	6	-609.41	1890.75	0	NULL	2021-11-05 16:59:01	-2.31428571
100	Razón y proporciones	7	-584.69	2465.46	0	NULL	2021-08-06 16:58:23	-2.14285714
101	Resta de  números  racionales	9	-1329.40	2518.45	0	NULL	2021-08-06 16:58:30	-2.31428571
161	Exponentes de números racionales a numeros enteros	6	-1007.34	1346.88	0	NULL	2021-12-13 23:23:56	-2.57142857
163	Multiplicación de polinomios	7	116.59	1121.97	0	NULL	2021-12-09 18:19:07	-1.45714286
164	División de polinomio entre monomio	8	-83.51	1340.24	0	NULL	2022-06-14 20:41:56	-1.37142857
165	División de polinomio entre polinomio	8	-363.24	1293.91	0	NULL	2022-06-21 18:28:25	-1.28571429
166	Factorización 	8	-528.60	1665.14	0	NULL	2022-06-21 18:28:33	-1.37142857
167	Productos notables	8	190.35	1444.69	0	NULL	2021-12-09 18:20:03	-1.28571429
168	Ecuaciones de segundo grado	9	4.85	1629.73	0	NULL	2021-12-09 18:20:01	-1.20000000
169	Solución de problemas reales con ecuaciones de segundo grado	10	-154.60	1905.11	0	NULL	2021-12-09 18:18:55	-1.11428571
170	Solución de problemas reales con sistemas de ecuaciones	6	147.73	147.73	0	NULL	2022-12-17 20:30:12	-1.11428571
172	Cuadrilateros	6	491.11	1412.82	0	NULL	2021-11-23 17:35:58	-0.68571429
173	Postulados y teoremas	7	635.28	1701.95	0	NULL	2021-11-14 17:54:15	-0.60000000
174	Perímetros áreas y volúmenes	8	823.36	1870.60	0	NULL	2022-05-06 12:55:40	-0.51428571
175	Congruencia de trángulos	9	533.44	2165.79	0	NULL	2021-12-09 17:36:18	-0.42857143
176	Relación métrica de la circunferencia	9	940.66	2174.45	0	NULL	2022-05-06 13:25:07	-0.42857143
177	Semezanjas de triangulos	10	735.77	2425.41	0	NULL	2022-06-21 18:37:45	-0.34285714
178	Teorema de Thales de Mileto	11	854.70	2750.17	0	NULL	2022-05-03 12:10:11	-0.25714286
179	Teorema de Pitágoras	11	1095.51	2389.70	0	NULL	2021-12-09 17:36:28	-0.25714286
180	Teorema de Euclides	11	442.84	2462.82	0	NULL	2021-12-09 17:36:24	-0.25714286
181	Plano cartesiano	3	561.21	606.59	0	NULL	2022-01-03 23:46:20	-0.94285714
182	Recta	4	570.48	915.01	0	NULL	2021-11-11 21:45:37	-0.85714286
183	Circunferencia	5	875.92	908.37	0	NULL	2021-11-14 16:51:40	-0.77142857
184	Elipse	6	1151.83	945.13	0	NULL	2021-08-05 16:26:28	-0.68571429
185	Hipérbola	7	1129.05	1215.94	0	NULL	2021-12-06 15:04:55	-0.60000000
186	Sistema de n ecuaciones lineales con n incógnitas	2	871.94	515.39	0	NULL	2021-11-05 16:31:40	-0.17142857
187	Solución de problemas reales con álgebra lineal	9	1255.69	2092.21	0	NULL	2021-12-09 18:14:08	0.42857143
188	Ley de los Senos	8	1758.18	1354.23	0	NULL	2021-12-06 15:05:06	1.02857143
189	Solución de trángulos rectángulos	8	1634.19	1586.07	0	NULL	2021-12-06 15:05:02	1.11428571
190	Solución de problemas reales con trigonometría	9	1562.94	1822.76	0	NULL	2021-12-13 23:22:36	1.20000000
191	Intervalos	2	1923.50	555.78	0	NULL	2021-12-06 15:05:15	1.28571429
192	Desigualdades - inecuaciones	3	2059.58	748.86	0	NULL	2022-05-06 12:43:53	1.37142857
193	Formas de expresar funciones matemáticas	5	2003.89	1248.18	0	NULL	2021-11-16 02:42:24	1.54285714
194	Funciones Trigonométricas	8	3061.44	1843.27	0	NULL	2022-06-21 18:30:40	1.71428571
195	Modelado de funciones	9	2250.91	2439.78	0	NULL	2021-12-06 15:05:19	1.80000000
196	Límites y continuidad	2	2124.60	549.60	0	NULL	2021-11-25 14:26:24	1.88571429
197	Derivada	3	2363.21	676.67	0	NULL	2021-11-25 14:26:22	1.97142857
198	Razón de cambio	4	2269.80	920.93	0	NULL	2021-11-25 14:26:20	2.05714286
199	Reglas de derivación	5	2243.54	1179.75	0	NULL	2021-11-25 14:26:12	2.14285714
200	Razones de cambio relacionadas	6	2350.54	1417.62	0	NULL	2021-11-25 14:26:10	2.22857143
201	Optimizacion	7	2667.10	1528.79	0	NULL	2022-06-21 18:36:40	2.31428571
202	Antiderivadas	2	2341.41	396.42	0	NULL	2021-11-11 17:21:58	2.40000000
203	Definición de la integral	3	2595.67	583.02	0	NULL	2021-11-11 17:21:59	2.48571429
204	Reglas de integración inmediatas	4	2637.25	805.84	0	NULL	2021-12-09 17:36:42	2.57142857
205	Métodos de integración	5	2515.82	1073.40	0	NULL	2021-12-09 17:36:40	2.65714286
206	Integral definida	6	2701.33	1291.83	0	NULL	2022-06-21 18:33:38	2.74285714
207	Áreas bajo la curva	7	2999.94	1374.10	0	NULL	2022-06-21 18:25:14	2.82857143
208	Sólido de revolución	8	3214.31	1618.18	0	NULL	2022-06-21 18:25:22	2.91428571
209	Volúmen de un sólido en revolución	9	3395.73	1854.38	0	NULL	2022-06-21 18:25:20	3.00000000
